CustomerID,Gender,Age,Country,City,BranchID,PaymentType,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,Value_Tier
15227920,Female,66,South Africa,Cape Town,BR-003,Instant,2024-06-09,258,1,645.86,4,1,2,412,7,New Customers,Low Value
15478914,Male,47,South Africa,Invalid_City,BR-003,Credit,2024-04-13,315,3,2002.6,3,3,5,335,11,Loyal Customers,High Value
16455760,Female,38,Brazil,Rio de Janeiro,BR-006,Instant,2023-05-23,641,3,1478.15,1,3,4,134,8,At Risk,High Value
16619155,Male,40,France,Paris,BR-002,Instant,2024-11-29,85,1,1234.69,5,1,4,514,10,New Customers,Medium Value
16655963,Female,71,Canada,Toronto,BR-007,Instant,2024-07-09,228,2,1551.54,4,1,5,415,10,New Customers,High Value
17389429,Female,61,Canada,Toronto,BR-007,Instant,2024-02-02,386,4,556.94,3,4,1,341,8,Loyal Customers,Low Value
17943124,Other,36,France,Paris,BR-002,Instant,2024-06-11,256,2,761.34,4,1,2,412,7,New Customers,Low Value
20445379,Male,78,Invalid_Country,Rio de Janeiro,BR-006,Credit,2024-12-29,55,2,184.03,5,1,1,511,7,New Customers,Low Value
22602155,Male,55,Germany,Berlin,BR-001,Instant,2024-12-28,56,2,1494.44,5,1,4,514,10,New Customers,High Value
22923739,Male,49,Invalid_Country,Berlin,BR-001,Credit,2023-11-26,454,2,958.8,2,1,3,213,6,Lost Customers,Low Value
24033543,Female,42,Singapore,Singapore,BR-004,Credit,2024-01-03,416,3,1631.87,3,3,5,335,11,Loyal Customers,High Value
24926911,Male,64,Germany,Berlin,BR-001,Instant,2023-06-19,614,3,639.17,1,3,2,132,6,At Risk,Low Value
24928352,Other,47,Singapore,Singapore,BR-004,Credit,2023-04-12,682,1,1257.45,1,1,4,114,6,Lost Customers,Medium Value
25066804,Male,27,Brazil,Rio de Janeiro,BR-006,Instant,2023-04-29,665,4,92643.02,1,4,5,145,10,At Risk,High Value
25277966,Female,23,Germany,Berlin,BR-001,Credit,2024-12-30,54,4,423.71,5,4,1,541,10,Loyal Customers,Low Value
25481179,Male,56,South Africa,Cape Town,BR-003,Instant,2024-06-03,264,4,2121.04,4,4,5,445,13,Champions,High Value
27257159,Female,41,Brazil,Rio de Janeiro,BR-006,Credit,2024-06-22,245,3,513.78,4,3,1,431,8,Loyal Customers,Low Value
29568769,Female,79,France,Paris,BR-002,Instant,2023-06-25,608,3,1897.71,1,3,5,135,9,At Risk,High Value
30865633,Male,33,France,Paris,BR-002,Instant,2024-06-15,252,2,276.78,4,1,1,411,6,New Customers,Low Value
31958209,Female,41,Brazil,New Jessica,BR-006,Credit,2024-08-09,197,4,262.93,4,4,1,441,9,Loyal Customers,Low Value
32041840,Male,43,Singapore,Singapore,BR-004,Credit,2024-04-28,300,5,1661.91,3,5,5,355,13,Loyal Customers,High Value
32973946,Female,27,Germany,Berlin,BR-001,Instant,2023-09-26,515,1,1450.37,2,1,4,214,7,Lost Customers,High Value
32976885,Female,54,Germany,Berlin,BR-001,Instant,2024-07-25,212,5,447.92,4,5,1,451,10,Loyal Customers,Low Value
33246037,Female,36,France,Paris,BR-002,Instant,2024-12-28,56,5,581.15,5,5,1,551,11,Loyal Customers,Low Value
35125159,Male,32,Brazil,South Cassandra,BR-006,Credit,2024-04-12,316,2,930.47,3,1,3,313,7,Need Attention,Low Value
35211757,Male,77,Germany,Invalid_City,BR-001,Credit,2025-02-21,1,3,604.44,5,3,1,531,9,Loyal Customers,Low Value
35568992,Male,79,Singapore,Singapore,BR-004,Instant,2023-11-30,450,0,694.84,2,1,2,212,5,Lost Customers,Low Value
36342831,Female,52,Germany,Berlin,BR-001,Credit,2023-08-28,544,3,1872.39,2,3,5,235,10,At Risk,High Value
39444985,Female,51,Germany,Berlin,BR-001,Instant,2024-03-12,347,0,1551.3,3,1,5,315,9,Need Attention,High Value
39641178,Male,48,Brazil,Rio de Janeiro,BR-006,Instant,2023-07-19,584,3,560.25,2,3,1,231,6,At Risk,Low Value
39754613,Female,76,Germany,Berlin,BR-001,Credit,2023-11-26,454,4,906.34,2,4,2,242,8,At Risk,Low Value
40051617,Female,59,Japan,Tokyo,BR-005,Instant,2025-01-04,49,2,1143.85,5,1,3,513,9,New Customers,Medium Value
40714082,Female,64,Singapore,Invalid_City,BR-004,Instant,2024-06-27,240,2,184808.84,4,2,5,425,11,Potential Loyalists,High Value
43347954,Female,30,Brazil,Rio de Janeiro,BR-006,Instant,2023-12-22,428,4,1704.39,3,4,5,345,12,Loyal Customers,High Value
44499160,Female,63,Invalid_Country,Tokyo,BR-005,Instant,2024-12-09,75,3,673.25,5,3,2,532,10,Loyal Customers,Low Value
44693403,Male,22,Japan,Tokyo,BR-005,Instant,2023-12-10,440,3,983.56,3,3,3,333,9,Loyal Customers,Low Value
45188911,Male,63,Singapore,Singapore,BR-004,Instant,2023-04-28,666,5,1781.52,1,5,5,155,11,At Risk,High Value
46540965,Male,52,Germany,Invalid_City,BR-001,Instant,2023-06-27,606,2,305.08,1,2,1,121,4,Lost Customers,Low Value
47834420,Male,19,Germany,Invalid_City,BR-001,Instant,2024-06-14,253,2,1573.87,4,2,5,425,11,Potential Loyalists,High Value
47884152,Male,43,Brazil,Lake Renee,BR-006,Instant,2024-09-09,166,4,724.29,4,4,2,442,10,Loyal Customers,Low Value
47984032,Female,77,Canada,Toronto,BR-007,Instant,2024-02-10,378,2,905.22,3,2,2,322,7,Need Attention,Low Value
48326241,Male,54,South Africa,Cape Town,BR-003,Instant,2024-07-01,236,3,537.53,4,3,1,431,8,Loyal Customers,Low Value
48741146,Male,44,Brazil,Rio de Janeiro,BR-006,Instant,2024-10-06,139,1,1665.72,5,1,5,515,11,New Customers,High Value
49917360,Female,23,Singapore,Port Timothyshire,BR-004,Instant,2024-04-08,320,5,859.79,3,5,2,352,10,Loyal Customers,Low Value
52189605,Female,18,Brazil,Rio de Janeiro,BR-006,Credit,2024-04-03,325,4,240.51,3,4,1,341,8,Loyal Customers,Low Value
52679074,Male,36,South Africa,Cape Town,BR-003,Instant,2023-12-02,448,4,439.8,2,4,1,241,7,At Risk,Low Value
53497906,Other,35,Singapore,Singapore,BR-004,Instant,2024-11-14,100,4,1690.88,5,4,5,545,14,Champions,High Value
53696903,Male,49,Singapore,Singapore,BR-004,Instant,2025-01-02,51,2,926.48,5,2,3,523,10,Potential Loyalists,Low Value
54067588,Female,43,Singapore,Singapore,BR-004,Instant,2024-07-29,208,1,43780.22,4,1,5,415,10,New Customers,High Value
54194781,Male,51,Germany,Berlin,BR-001,Instant,2024-06-29,238,3,1563.43,4,3,5,435,12,Loyal Customers,High Value
55204117,Male,56,Canada,Toronto,BR-007,Instant,2024-07-29,208,6,1598.24,4,5,5,455,14,Champions,High Value
55360577,Male,63,Japan,Invalid_City,BR-005,Instant,2024-11-12,102,1,37251.86,5,1,5,515,11,New Customers,High Value
55545197,Female,19,Singapore,Singapore,BR-004,Instant,2024-05-29,269,6,767.66,4,5,2,452,11,Loyal Customers,Low Value
57186011,Female,30,Brazil,Rio de Janeiro,BR-006,Credit,2023-04-09,685,3,1515.05,1,3,5,135,9,At Risk,High Value
57242664,Female,18,Canada,Invalid_City,BR-007,Credit,2023-08-08,564,2,1451.11,2,2,4,224,8,Lost Customers,High Value
58716611,Female,55,South Africa,Cape Town,BR-003,Instant,2024-06-27,240,5,1612.9,4,5,5,455,14,Champions,High Value
58863332,Female,46,South Africa,Lucasview,BR-003,Instant,2023-05-31,633,3,625.43,1,3,1,131,5,At Risk,Low Value
60666830,,58,Japan,Tokyo,BR-005,Credit,2024-12-31,53,0,18.54,5,1,1,511,7,New Customers,Low Value
61708465,Male,63,Japan,Jamiestad,BR-005,Instant,2024-03-31,328,3,1676.31,3,3,5,335,11,Loyal Customers,High Value
62984370,Other,57,France,New Markton,BR-002,Instant,2025-01-30,23,3,385.56,5,3,1,531,9,Loyal Customers,Low Value
63804202,Male,49,Singapore,Invalid_City,BR-004,Instant,2024-04-26,302,1,1762.32,3,1,5,315,9,Need Attention,High Value
66151596,Male,71,Germany,Berlin,BR-001,Instant,2023-09-07,534,2,916.4,2,2,2,222,6,Lost Customers,Low Value
67540328,Male,49,Singapore,Singapore,BR-004,Instant,2024-06-03,264,3,954.38,4,3,3,433,10,Loyal Customers,Low Value
68093540,Male,61,Brazil,Rio de Janeiro,BR-006,Instant,2024-03-15,344,1,598.43,3,1,1,311,5,Need Attention,Low Value
68726710,Female,29,South Africa,Cape Town,BR-003,Credit,2024-06-23,244,1,826.79,4,1,2,412,7,New Customers,Low Value
71407216,Male,36,Japan,Tokyo,BR-005,Instant,2024-09-09,166,5,1404.62,4,5,4,454,13,Champions,Medium Value
72260042,Male,45,Germany,Berlin,BR-001,Instant,2023-05-20,644,6,553.59,1,5,1,151,7,At Risk,Low Value
72267459,Female,75,France,Paris,BR-002,Credit,2023-08-01,571,3,757.14,2,3,2,232,7,At Risk,Low Value
72387754,Female,46,France,Paris,BR-002,Instant,2024-06-30,237,2,1531.74,4,2,5,425,11,Potential Loyalists,High Value
74422321,,78,South Africa,Cape Town,BR-003,Instant,2024-08-29,177,4,735.98,4,4,2,442,10,Loyal Customers,Low Value
76528484,Male,59,Singapore,Singapore,BR-004,Instant,2023-05-06,658,5,2018.49,1,5,5,155,11,At Risk,High Value
77671281,Female,46,France,Paris,BR-002,Instant,2023-03-15,710,6,1639.66,1,5,5,155,11,At Risk,High Value
77987061,Male,67,Canada,Toronto,BR-007,Instant,2024-06-11,256,4,236.85,4,4,1,441,9,Loyal Customers,Low Value
79718108,Female,72,Singapore,Singapore,BR-004,Instant,2024-10-14,131,2,301.33,5,2,1,521,8,Potential Loyalists,Low Value
79992366,Male,56,South Africa,Cape Town,BR-003,Instant,2024-03-13,346,5,1643.08,3,5,5,355,13,Loyal Customers,High Value
80791115,Male,57,Singapore,Manningstad,BR-004,Instant,2023-12-15,435,3,703.61,3,3,2,332,8,Loyal Customers,Low Value
80791685,Male,61,Singapore,Singapore,BR-004,Instant,2023-05-18,646,2,2038.84,1,2,5,125,8,Lost Customers,High Value
81313029,Female,32,Canada,Toronto,BR-007,Instant,2024-02-29,359,5,338.27,3,5,1,351,9,Loyal Customers,Low Value
81433916,Female,45,Japan,Tokyo,BR-005,Instant,2023-03-11,714,2,647.96,1,2,2,122,5,Lost Customers,Low Value
81479375,Female,58,Germany,Berlin,BR-001,Instant,2024-05-20,278,1,821.4,4,1,2,412,7,New Customers,Low Value
86088561,Male,63,Germany,Invalid_City,BR-001,Instant,2023-11-16,464,2,1162.09,2,2,3,223,7,Lost Customers,Medium Value
87546888,Female,69,Invalid_Country,Berlin,BR-001,Credit,2024-04-16,312,2,1687.03,3,2,5,325,10,Need Attention,High Value
87895738,Male,64,France,Paris,BR-002,Instant,2025-01-27,26,1,1107.89,5,1,3,513,9,New Customers,Medium Value
89277084,Female,55,Brazil,Rio de Janeiro,BR-006,Credit,2023-12-02,448,4,111804.16,2,4,5,245,11,At Risk,High Value
91290343,Male,54,Brazil,Rio de Janeiro,BR-006,Instant,2023-09-20,521,1,677.71,2,1,2,212,5,Lost Customers,Low Value
95545915,Female,74,Germany,Berlin,BR-001,Instant,2024-06-14,253,2,1210.6,4,2,4,424,10,Potential Loyalists,Medium Value
95642257,Male,37,Singapore,Singapore,BR-004,Instant,2023-10-21,490,3,1455.5,2,3,4,234,9,At Risk,High Value
96521734,Female,67,Singapore,Singapore,BR-004,Instant,2023-08-28,544,6,369.49,2,5,1,251,8,At Risk,Low Value
98725944,Female,79,Japan,Tokyo,BR-005,Credit,2024-04-25,303,3,1001.43,3,3,3,333,9,Loyal Customers,Low Value
99121012,Female,50,Germany,Berlin,BR-001,Instant,2024-01-01,418,5,1224.04,3,5,4,354,12,Loyal Customers,Medium Value
101376651,Male,52,South Africa,Cape Town,BR-003,Instant,2024-07-28,209,2,943.36,4,2,3,423,9,Potential Loyalists,Low Value
102488073,Male,66,Germany,Berlin,BR-001,Instant,2024-06-26,241,7,631.7,4,5,1,451,10,Loyal Customers,Low Value
102824968,Male,67,Japan,Tokyo,BR-005,Instant,2024-03-29,330,2,865.6,3,2,2,322,7,Need Attention,Low Value
103171754,Female,40,Brazil,Rio de Janeiro,BR-006,Credit,2024-01-29,390,2,1111.94,3,2,3,323,8,Need Attention,Medium Value
103308811,Female,43,Germany,West Leslie,BR-001,Credit,2024-10-03,142,6,969.72,5,5,3,553,13,Loyal Customers,Low Value
104056181,Male,75,Germany,Berlin,BR-001,Instant,2024-06-08,259,4,760.13,4,4,2,442,10,Loyal Customers,Low Value
104193666,Male,35,Canada,Invalid_City,BR-007,Credit,2024-03-15,344,2,1206.55,3,2,4,324,9,Need Attention,Medium Value
104506355,Male,24,Brazil,Lake Theresa,BR-006,Credit,2024-09-17,158,5,651.87,4,5,2,452,11,Loyal Customers,Low Value
104631429,Female,28,Canada,Toronto,BR-007,Instant,2023-06-03,630,2,1524.77,1,2,5,125,8,Lost Customers,High Value
108491028,Male,66,Japan,Perkinschester,BR-005,Instant,2023-12-24,426,5,709.15,3,5,2,352,10,Loyal Customers,Low Value
111090701,Female,70,Invalid_Country,Invalid_City,BR-001,Instant,2023-08-25,547,2,1043.29,2,2,3,223,7,Lost Customers,Medium Value
111968466,Other,70,Germany,Josephport,BR-001,Instant,2023-10-08,503,3,1171.57,2,3,3,233,8,At Risk,Medium Value
113534114,Female,25,Brazil,Rio de Janeiro,BR-006,Instant,2023-12-30,420,1,732.67,3,1,2,312,6,Need Attention,Low Value
113743189,Male,74,Germany,Berlin,BR-001,Instant,2025-02-12,10,0,1459.77,5,1,4,514,10,New Customers,High Value
114404538,Male,62,France,Invalid_City,BR-002,Instant,2023-11-12,468,2,1291.01,2,2,4,224,8,Lost Customers,Medium Value
115658623,Female,46,Canada,Toronto,BR-007,Instant,2024-03-28,331,3,743.51,3,3,2,332,8,Loyal Customers,Low Value
117764465,Male,59,France,Paris,BR-002,Credit,2024-10-30,115,2,965.02,5,2,3,523,10,Potential Loyalists,Low Value
118205572,Male,45,Japan,Tokyo,BR-005,Instant,2024-06-11,256,0,881.1,4,1,2,412,7,New Customers,Low Value
118446333,,73,Japan,Invalid_City,BR-005,Instant,2023-05-07,657,1,1473.68,1,1,4,114,6,Lost Customers,High Value
122052259,Male,30,Japan,Tokyo,BR-005,Credit,2023-11-26,454,3,205.57,2,3,1,231,6,At Risk,Low Value
123654413,Female,51,Invalid_Country,Tokyo,BR-005,Credit,2025-01-05,48,3,1257.21,5,3,4,534,12,Loyal Customers,Medium Value
123811858,Male,66,South Africa,Cape Town,BR-003,Instant,2024-06-09,258,4,1330.08,4,4,4,444,12,Champions,Medium Value
126974257,Male,72,Canada,Toronto,BR-007,Credit,2024-10-02,143,1,901.39,5,1,2,512,8,New Customers,Low Value
127773567,Female,55,France,Potterport,BR-002,Credit,2024-03-02,357,4,805.19,3,4,2,342,9,Loyal Customers,Low Value
130919031,Other,65,South Africa,Cape Town,BR-003,Credit,2025-01-26,27,2,1202.92,5,2,4,524,11,Potential Loyalists,Medium Value
131258137,Female,39,Germany,Port Tanya,BR-001,Instant,2023-03-29,696,3,1071.9,1,3,3,133,7,At Risk,Medium Value
133775724,Female,23,Singapore,Singapore,BR-004,Instant,2023-07-25,578,1,358.62,2,1,1,211,4,Lost Customers,Low Value
134273281,Male,43,Japan,Tokyo,BR-005,Credit,2024-07-09,228,3,998.34,4,3,3,433,10,Loyal Customers,Low Value
135064914,Other,40,Singapore,Singapore,BR-004,Instant,2024-11-01,113,2,474.88,5,2,1,521,8,Potential Loyalists,Low Value
137126416,Male,36,Japan,Tokyo,BR-005,Instant,2023-12-25,425,4,1022.07,3,4,3,343,10,Loyal Customers,Low Value
139274572,Female,67,Singapore,Medinaburgh,BR-004,Instant,2024-01-02,417,3,1228.91,3,3,4,334,10,Loyal Customers,Medium Value
140687944,Female,55,South Africa,Cape Town,BR-003,Instant,2024-11-16,98,4,829.4,5,4,2,542,11,Loyal Customers,Low Value
141763424,Female,68,Germany,Berlin,BR-001,Instant,2024-06-14,253,2,980.22,4,2,3,423,9,Potential Loyalists,Low Value
142668070,Other,68,South Africa,Cape Town,BR-003,Credit,2023-12-11,439,3,824.07,3,3,2,332,8,Loyal Customers,Low Value
143483655,Other,58,Germany,Berlin,BR-001,Credit,2023-09-04,537,1,724.52,2,1,2,212,5,Lost Customers,Low Value
145800882,Male,19,Canada,Invalid_City,BR-007,Instant,2023-12-11,439,4,1902.36,3,4,5,345,12,Loyal Customers,High Value
145808406,Male,35,Singapore,Singapore,BR-004,Credit,2024-12-22,62,2,769.36,5,2,2,522,9,Potential Loyalists,Low Value
147966508,Female,79,Canada,Toronto,BR-007,Credit,2023-08-07,565,3,1313.0,2,3,4,234,9,At Risk,Medium Value
150208231,Male,63,Singapore,Singapore,BR-004,Instant,2024-03-19,340,2,1000.16,3,2,3,323,8,Need Attention,Low Value
150303962,Male,51,Singapore,Singapore,BR-004,Instant,2023-05-06,658,0,210.09,1,1,1,111,3,Lost Customers,Low Value
150314294,Male,78,Germany,Berlin,BR-001,Instant,2023-04-13,681,2,1994.1,1,2,5,125,8,Lost Customers,High Value
150587894,Male,38,Brazil,Rio de Janeiro,BR-006,Instant,2024-05-27,271,2,845.13,4,2,2,422,8,Potential Loyalists,Low Value
151459722,Male,42,Singapore,Singapore,BR-004,Instant,2023-05-21,643,0,1191.83,1,1,4,114,6,Lost Customers,Medium Value
152631137,Female,46,Invalid_Country,Toronto,BR-007,Instant,2024-01-12,407,2,807.67,3,2,2,322,7,Need Attention,Low Value
152723512,Female,68,Japan,Tokyo,BR-005,Instant,2023-12-05,445,5,623.15,2,5,1,251,8,At Risk,Low Value
152899971,Other,61,Singapore,Singapore,BR-004,Instant,2023-05-12,652,1,1096.39,1,1,3,113,5,Lost Customers,Medium Value
152947596,Female,50,Brazil,Rio de Janeiro,BR-006,Credit,2024-08-26,180,2,1246.0,4,2,4,424,10,Potential Loyalists,Medium Value
153637293,Male,32,Germany,Berlin,BR-001,Instant,2024-01-27,392,2,172641.53,3,2,5,325,10,Need Attention,High Value
154331844,Other,19,Singapore,Singapore,BR-004,Credit,2023-07-04,599,1,690.12,1,1,2,112,4,Lost Customers,Low Value
154522414,Male,67,Canada,Toronto,BR-007,Instant,2023-04-11,683,3,1463.62,1,3,4,134,8,At Risk,High Value
155016883,Male,49,Germany,Berlin,BR-001,Credit,2023-09-17,524,1,775.06,2,1,2,212,5,Lost Customers,Low Value
155639717,Male,27,Brazil,Invalid_City,BR-006,Instant,2023-10-26,485,3,23734.05,2,3,5,235,10,At Risk,High Value
157544864,Male,72,Canada,Toronto,BR-007,Credit,2025-01-24,29,3,983.96,5,3,3,533,11,Loyal Customers,Low Value
160090643,Female,54,Canada,Toronto,BR-007,Instant,2025-01-14,39,4,657.32,5,4,2,542,11,Loyal Customers,Low Value
160442658,Female,40,Japan,Tokyo,BR-005,Credit,2023-08-11,561,3,359.6,2,3,1,231,6,At Risk,Low Value
163317778,Male,79,France,Paris,BR-002,Instant,2024-07-05,232,1,327.62,4,1,1,411,6,New Customers,Low Value
163487747,Female,78,Brazil,Rio de Janeiro,BR-006,Instant,2024-03-19,340,4,580.08,3,4,1,341,8,Loyal Customers,Low Value
166228147,Male,39,France,Tracyside,BR-002,Instant,2025-02-03,19,1,1556.44,5,1,5,515,11,New Customers,High Value
166395882,Male,71,Singapore,Singapore,BR-004,Instant,2024-11-16,98,2,2060.5,5,2,5,525,12,Potential Loyalists,High Value
166586051,Female,24,Canada,Laurenfurt,BR-007,Credit,2023-08-02,570,3,1819.14,2,3,5,235,10,At Risk,High Value
167708881,Male,22,South Africa,Cape Town,BR-003,Instant,2025-01-18,35,4,570.87,5,4,1,541,10,Loyal Customers,Low Value
167916315,Male,61,Japan,Tokyo,BR-005,Instant,2024-08-28,178,3,626.46,4,3,1,431,8,Loyal Customers,Low Value
168275985,Other,22,Germany,Cervantesfurt,BR-001,Instant,2025-01-14,39,4,285.72,5,4,1,541,10,Loyal Customers,Low Value
168700245,Female,30,South Africa,Cape Town,BR-003,Instant,2023-05-01,663,3,1805.07,1,3,5,135,9,At Risk,High Value
169227096,Male,35,Japan,Invalid_City,BR-005,Instant,2024-10-18,127,1,934.52,5,1,3,513,9,New Customers,Low Value
169353192,Female,68,South Africa,Cape Town,BR-003,Instant,2024-01-28,391,4,23.38,3,4,1,341,8,Loyal Customers,Low Value
169597588,Female,35,South Africa,Invalid_City,BR-003,Credit,2024-06-13,254,5,473.76,4,5,1,451,10,Loyal Customers,Low Value
170304888,Male,72,South Africa,Lake Douglas,BR-003,Credit,2023-06-03,630,2,703.08,1,2,2,122,5,Lost Customers,Low Value
171199298,Female,45,France,Paris,BR-002,Credit,2025-01-23,30,1,1371.05,5,1,4,514,10,New Customers,Medium Value
171753752,Male,75,Brazil,Rio de Janeiro,BR-006,Credit,2023-05-12,652,2,998.55,1,2,3,123,6,Lost Customers,Low Value
175743180,Male,47,Germany,Berlin,BR-001,Instant,2023-03-12,713,2,316.39,1,2,1,121,4,Lost Customers,Low Value
176163833,Female,26,Germany,Berlin,BR-001,Instant,2023-04-23,671,3,1217.66,1,3,4,134,8,At Risk,Medium Value
178272575,Female,77,France,Paris,BR-002,Instant,2024-11-24,90,6,945.11,5,5,3,553,13,Loyal Customers,Low Value
180766297,Male,25,Japan,Tokyo,BR-005,Instant,2024-07-01,236,2,52.86,4,2,1,421,7,Potential Loyalists,Low Value
181472290,Male,71,Brazil,Rio de Janeiro,BR-006,Instant,2024-07-16,221,5,865.06,4,5,2,452,11,Loyal Customers,Low Value
181516529,Other,62,Japan,Tokyo,BR-005,Instant,2023-07-22,581,5,1147.77,2,5,3,253,10,At Risk,Medium Value
182087004,Male,76,Brazil,Rio de Janeiro,BR-006,Instant,2025-02-21,1,3,490.09,5,3,1,531,9,Loyal Customers,Low Value
182258253,Female,38,Brazil,Invalid_City,BR-006,Instant,2024-12-21,63,2,1073.31,5,2,3,523,10,Potential Loyalists,Medium Value
183505159,Female,79,Germany,Berlin,BR-001,Instant,2024-12-08,76,3,658.24,5,3,2,532,10,Loyal Customers,Low Value
189896419,Female,59,Japan,Tokyo,BR-005,Credit,2024-11-22,92,3,1092.52,5,3,3,533,11,Loyal Customers,Medium Value
189902638,Male,25,Japan,Tokyo,BR-005,Credit,2023-08-20,552,2,1434.92,2,2,4,224,8,Lost Customers,High Value
190078244,Male,59,Canada,Toronto,BR-007,Instant,2023-06-19,614,3,1070.72,1,3,3,133,7,At Risk,Medium Value
190449331,Female,50,Germany,Berlin,BR-001,Instant,2024-02-04,384,5,1166.44,3,5,3,353,11,Loyal Customers,Medium Value
190753003,Female,34,Canada,Toronto,BR-007,Credit,2024-08-14,192,5,874.47,4,5,2,452,11,Loyal Customers,Low Value
191079720,Male,72,Japan,Invalid_City,BR-005,Instant,2024-02-19,369,0,1454.55,3,1,4,314,8,Need Attention,High Value
192898998,Female,36,Japan,Tokyo,BR-005,Instant,2023-05-06,658,1,831.7,1,1,2,112,4,Lost Customers,Low Value
192963691,Female,26,South Africa,Cape Town,BR-003,Instant,2025-01-03,50,4,688.32,5,4,2,542,11,Loyal Customers,Low Value
194632540,Male,58,South Africa,Cape Town,BR-003,Instant,2023-06-26,607,3,1908.09,1,3,5,135,9,At Risk,High Value
195131018,Male,77,Japan,Tokyo,BR-005,Instant,2023-10-24,487,0,1199.71,2,1,4,214,7,Lost Customers,Medium Value
195910504,Other,62,South Africa,Cape Town,BR-003,Instant,2023-10-01,510,2,1393.78,2,2,4,224,8,Lost Customers,Medium Value
197123329,Male,78,France,Paris,BR-002,Instant,2024-03-27,332,3,1734.5,3,3,5,335,11,Loyal Customers,High Value
198349934,Male,38,Brazil,Rio de Janeiro,BR-006,Instant,2024-08-17,189,4,1463.32,4,4,4,444,12,Champions,High Value
201401048,Male,74,Japan,Tokyo,BR-005,Instant,2023-03-13,712,2,1676.13,1,2,5,125,8,Lost Customers,High Value
201566218,Male,58,Brazil,Rio de Janeiro,BR-006,Credit,2025-01-05,48,0,1742.7,5,1,5,515,11,New Customers,High Value
202249204,Female,26,Canada,Toronto,BR-007,Credit,2025-01-09,44,2,1684.82,5,2,5,525,12,Potential Loyalists,High Value
204433088,Female,38,South Africa,Cape Town,BR-003,Instant,2023-05-23,641,0,1295.06,1,1,4,114,6,Lost Customers,Medium Value
204766039,Female,71,Brazil,Rio de Janeiro,BR-006,Instant,2024-05-28,270,2,756.64,4,2,2,422,8,Potential Loyalists,Low Value
205499801,Male,39,South Africa,Cape Town,BR-003,Instant,2023-08-01,571,7,825.7,2,5,2,252,9,At Risk,Low Value
206263431,Male,59,Canada,Invalid_City,BR-007,Instant,2024-11-04,110,5,877.3,5,5,2,552,12,Loyal Customers,Low Value
207189949,Female,60,Singapore,Singapore,BR-004,Instant,2023-08-14,558,3,602.14,2,3,1,231,6,At Risk,Low Value
